episode,agent,is_bps,total_reward,remaining_shares,timestamp
27,Aggressive,6.1235,-595510.9838,0,2026-03-11T04:40:04.297932+00:00
28,Aggressive,5.5111,-540916.5303,0,2026-03-11T04:40:04.298021+00:00
29,Aggressive,5.3784,-524666.9956,0,2026-03-11T04:40:04.298107+00:00
30,Aggressive,5.2016,-509495.7744,0,2026-03-11T04:40:04.298194+00:00
31,Aggressive,5.3151,-520610.0577,0,2026-03-11T04:40:04.298284+00:00
32,Aggressive,5.2957,-518716.0771,0,2026-03-11T04:40:04.298372+00:00
33,Aggressive,5.7765,-565231.5721,0,2026-03-11T04:40:04.298459+00:00
34,Aggressive,5.375,-525947.068,0,2026-03-11T04:40:04.298544+00:00
35,Aggressive,5.1792,-507299.2701,0,2026-03-11T04:40:04.298636+00:00
36,Aggressive,5.2724,-516431.1535,0,2026-03-11T04:40:04.298724+00:00
37,Aggressive,5.7064,-556085.2496,0,2026-03-11T04:40:04.298809+00:00
38,Aggressive,5.2011,-509450.9026,0,2026-03-11T04:40:04.298922+00:00
39,Aggressive,6.2219,-608813.9282,0,2026-03-11T04:40:04.299009+00:00
40,Aggressive,5.8265,-569541.0292,0,2026-03-11T04:40:04.299099+00:00
41,Aggressive,5.2865,-517286.0847,0,2026-03-11T04:40:04.299186+00:00
42,Aggressive,5.2808,-517256.2554,0,2026-03-11T04:40:04.299270+00:00
43,Aggressive,5.2696,-517214.6669,0,2026-03-11T04:40:04.299354+00:00
44,Aggressive,5.4288,-529036.0046,0,2026-03-11T04:40:04.299440+00:00
45,Aggressive,5.643,-552164.8409,0,2026-03-11T04:40:04.299534+00:00
46,Aggressive,5.5569,-543744.5319,0,2026-03-11T04:40:04.299632+00:00
47,Aggressive,5.2687,-515544.8469,0,2026-03-11T04:40:04.299722+00:00
48,Aggressive,118.6624,-11611111.1111,0,2026-03-11T04:40:04.299811+00:00
49,Aggressive,5.5931,-545045.045,0,2026-03-11T04:40:04.299896+00:00
0,Patient,5.1433,-503273.4487,5,2026-03-11T04:40:05.245176+00:00
1,Patient,0.0668,-6521.1722,5,2026-03-11T04:40:05.245514+00:00
2,Patient,5.1409,-503550.5178,5,2026-03-11T04:40:05.245676+00:00
3,Patient,5.314,-519442.1527,5,2026-03-11T04:40:05.245795+00:00
4,Patient,5.1396,-503422.9549,5,2026-03-11T04:40:05.245891+00:00
5,Patient,5.6222,-547320.1532,5,2026-03-11T04:40:05.245984+00:00
6,Patient,8.3171,-814663.3242,5,2026-03-11T04:40:05.246076+00:00
